country,confirmed,death,recovered,active,population
Afghanistan,39285,1458,32842,4985,38041754
Albania,13806,388,8077,5341,2854191
Algeria,51690,1741,36282,13667,43053054
Andorra,2050,53,1432,565,77142
Angola,5114,185,2082,2847,31825295
Antigua and Barbuda,101,3,92,6,97118
Argentina,765002,20288,603140,141574,44938712
Armenia,50850,963,44219,5668,2957731
Australia,27109,890,24788,1431,25364307
Austria,45686,802,36476,8408,8877067
Azerbaijan,40309,593,38068,1648,10023318
Bahamas,4123,96,2206,1821,389482
Bahrain,71374,254,65550,5570,1641172
Bangladesh,364987,5272,277078,82637,163046161
Barbados,193,7,179,7,287025
Belarus,79019,839,74777,3403,9466856
Belgium,121059,10023,19521,91515,11484055
Belize,1992,27,1246,719,390353
Benin,2357,41,1973,343,11801151
Bhutan,282,0,225,57,763092
Bolivia,135716,8001,96165,31550,11513100
Bosnia and Herzegovina,27749,861,20947,5941,3301000
Botswana,3172,16,710,2446,2303697
Brazil,4847092,144680,4299659,402753,211049527
Brunei,146,3,142,1,433285
Bulgaria,20833,825,14634,5374,6975761
Burkina Faso,2088,58,1363,667,20321378
Myanmar,14383,321,4156,9906,54045420
Burundi,510,1,472,37,11530580
Cabo Verde,6126,61,5338,727,549935
Cambodia,278,0,275,3,16486542
Cameroon,20838,418,19440,980,25876380
Canada,162930,9368,138548,NA,37589262
Central African Republic,4829,62,1914,2853,4745185
Chad,1203,85,1067,51,15946876
Chile,464750,12822,438148,NA,18952038
China,90567,4739,85479,349,1397715000
Colombia,835339,26196,751691,57452,50339443
Comoros,484,7,466,11,850886
"Congo, Rep.",5089,89,3887,1113,5380508
"Congo, Dem. Rep.",10685,272,10165,248,86790567
Costa Rica,76828,917,39843,36068,5047561
Cote d'Ivoire,19755,120,19320,315,25716544
Croatia,16827,284,15218,1325,4067500
Cuba,5670,122,4922,626,11333483
Cyprus,1772,22,1369,381,1198575
Czech Republic,74255,678,34186,39391,10669709
Denmark,28882,651,21752,6479,5818553
